timestamp,price,datetime
1766185250,45171.6932,2025-12-19 23:00:50
1766185252,45163.1837,2025-12-19 23:00:52
1766185254,45164.2011,2025-12-19 23:00:54
1766185256,45170.0593,2025-12-19 23:00:56
1766185258,45163.2953,2025-12-19 23:00:58
1766185260,45169.092,2025-12-19 23:01:00
1766185262,45159.7562,2025-12-19 23:01:02
1766185264,45152.6009,2025-12-19 23:01:04
1766185266,45164.4036,2025-12-19 23:01:06
1766185268,45155.7978,2025-12-19 23:01:08
1766185270,45159.1624,2025-12-19 23:01:10
1766185272,45164.9077,2025-12-19 23:01:12
1766185274,45161.1511,2025-12-19 23:01:14
1766185276,45165.0684,2025-12-19 23:01:16
1766185278,45168.169,2025-12-19 23:01:18
1766185280,45160.7667,2025-12-19 23:01:20
1766185282,45157.4137,2025-12-19 23:01:22
1766185284,45143.4117,2025-12-19 23:01:24
1766185286,45153.4958,2025-12-19 23:01:26
1766185288,45155.666,2025-12-19 23:01:28
1766185290,45169.312,2025-12-19 23:01:30
1766185292,45162.6435,2025-12-19 23:01:32
1766185294,45157.1746,2025-12-19 23:01:34
1766185296,45139.1095,2025-12-19 23:01:36
1766185298,45139.8567,2025-12-19 23:01:38
1766185300,45140.6882,2025-12-19 23:01:40
1766185302,45143.9135,2025-12-19 23:01:42
1766185304,45147.7086,2025-12-19 23:01:44
1766185306,45141.7633,2025-12-19 23:01:46
1766185308,45154.007,2025-12-19 23:01:48
1766185310,45159.7105,2025-12-19 23:01:50
1766185312,45159.598,2025-12-19 23:01:52
1766185314,45157.9344,2025-12-19 23:01:54
1766185316,45160.9123,2025-12-19 23:01:56
1766185318,45157.6858,2025-12-19 23:01:58
1766185320,45143.7945,2025-12-19 23:02:00
1766185322,45145.8358,2025-12-19 23:02:02
1766185324,45146.4469,2025-12-19 23:02:04
1766185326,45151.1501,2025-12-19 23:02:06
1766185328,45150.638,2025-12-19 23:02:08
1766185330,45151.4198,2025-12-19 23:02:10
1766185332,45146.5402,2025-12-19 23:02:12
1766185334,45149.5406,2025-12-19 23:02:14
1766185336,45136.963,2025-12-19 23:02:16
1766185338,45138.927,2025-12-19 23:02:18
1766185340,45130.1407,2025-12-19 23:02:20
1766185342,45136.1727,2025-12-19 23:02:22
1766185344,45141.4119,2025-12-19 23:02:24
1766185346,45150.2076,2025-12-19 23:02:26
1766185348,45165.5836,2025-12-19 23:02:28
1766185350,45165.6896,2025-12-19 23:02:30
